#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,lynx,"is a terminal browser also used in LARBS for generating in-terminal previews of websites, emails and HTML files."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,yt-dlp,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information and is used in the file browser."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool used for easy selection and location of files."
,bat,"can highlight code output and display files and is used to generate previews in the file browser."
,xorg-xbacklight,"enables changing screen brightness levels."
A,zsh-fast-syntax-highlighting-git,"provides syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
A,htop-vim,"is a graphical and colorful system monitor."
G,https://github.com/ewof/dwmblocks.git,"serves as the modular status bar."
G,https://github.com/ewof/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/ewof/st.git,"is my custom build of suckless's terminal emulator."
G,https://github.com/ewof/dwm.git,"is the window manager."
A,mutt-wizard,"is a light-weight terminal-based email system."
,slock,"allows you to lock your computer, and quickly unlock with your password."
,socat,"is a utility which establishes two byte streams and transfers data between them."
,moreutils,"is a collection of useful unix tools."
,tesseract,"command-line OCR engine for advance maimpick"
,tesseract-data-eng,"english language pack for OCR"
,teamspeak-3,"discord but old"
A,nvidia,"nvidia gpu driver."
A,nvidia-utils,"nvidia utils."
A,lib32-nvidia-utils,"lib32 nvidia utils"
,nvidia-settings,"nvidia settings."
,steam,"vidya."
,wqy-zenhei,"steam asian font stuff."
,xfce4-screenshooter,"required for sharenix."
A,nodejs,"needed for zoomer nvim setup."
A,npm,"needed for zoomer nvim setup."
P,neovim,"needed for zoomer nvim setup."
,discord,"discord."
A,discord-update-skip-git,"helps with annoying discord updater."
A,discord-ptb,"discord ptb."
A,discord-ptb-update-skip-git,"helps with annoying discord updater."
A,discord-canary,"helps with annoying discord updater."
A,discord-canary-update-skip-git,"helps with annoying discord updater."
A,p7zip,"zip and 7zip tool"
A,prismlauncher,"minecraft launcher"
,openvpn,"openvpn."
A,visual-studio-code-bin,"IDE."
A,spotify,"Music player."
A,spicetify-cli,"Themes for spotify."
,tmux,"terminal manager."
,github-cli,"Github cli."
,element-desktop,"discord but for autists."
,telegram-desktop,"Honeypot messaging service."
,signal-desktop,"Telegram but better."
,bmon,"Network traffic viewer."
,nicotine+,"soulseek client."
,qbittorrent,"Torrent client."
,imagemagick,"imagemagick."
,w3m,"html tui stuff."
,links,"links."
,elinks,"elinks."
,urlview,"view urls bro."
A,python-yams,"yet another mpd scrobbler."
A,sharenix-git,"upload to image hosting sites."
,cronie,"cron."
,cronie-runit,"cron service."
,teamspeak3,"discord for old dudes."
,mumble,"teamspeak but not larp."
,zip,"zip."
,unzip,"unzip."
,netmount-runit,"Service to mount/umount network filesystems from fstab."
,cifs-utils,"CIFS filesystem user-space tools."
,openvpn-runit,"runit service scripts for openvpn."
,transmission-cli,"Fast, easy, and free BitTorrent client (CLI tools, daemon and web client)."
A,stig,"TUI and CLI client for the Transmission daemon."
